threshold,precision,recall
0.131380,0.294118,1.000000
0.131723,0.294760,1.000000
0.131750,0.295405,1.000000
0.131762,0.296053,1.000000
0.131806,0.296703,1.000000
0.132136,0.297357,1.000000
0.132140,0.298013,1.000000
0.132173,0.298673,1.000000
0.132292,0.299335,1.000000
0.132791,0.300000,1.000000
0.132982,0.300668,1.000000
0.133006,0.301339,1.000000
0.133029,0.302013,1.000000
0.133052,0.302691,1.000000
0.133193,0.303371,1.000000
0.133208,0.304054,1.000000
0.133492,0.304740,1.000000
0.133803,0.305430,1.000000
0.134539,0.306122,1.000000
0.134882,0.306818,1.000000
0.134987,0.307517,1.000000
0.134994,0.308219,1.000000
0.135304,0.308924,1.000000
0.135464,0.309633,1.000000
0.136003,0.310345,1.000000
0.136330,0.311060,1.000000
0.136342,0.311778,1.000000
0.136370,0.312500,1.000000
0.137575,0.313225,1.000000
0.137587,0.313953,1.000000
0.138676,0.314685,1.000000
0.139149,0.315421,1.000000
0.139309,0.316159,1.000000
0.139701,0.316901,1.000000
0.139743,0.317647,1.000000
0.139797,0.318396,1.000000
0.140400,0.319149,1.000000
0.140638,0.319905,1.000000
0.140714,0.320665,1.000000
0.140922,0.321429,1.000000
0.141292,0.322196,1.000000
0.141425,0.322967,1.000000
0.141458,0.323741,1.000000
0.141669,0.324519,1.000000
0.141743,0.325301,1.000000
0.142196,0.326087,1.000000
0.142202,0.326877,1.000000
0.142386,0.327670,1.000000
0.142552,0.328467,1.000000
0.142587,0.329268,1.000000
0.142840,0.330073,1.000000
0.142919,0.330882,1.000000
0.143279,0.331695,1.000000
0.143293,0.332512,1.000000
0.143403,0.333333,1.000000
0.143633,0.334158,1.000000
0.144308,0.334988,1.000000
0.144527,0.335821,1.000000
0.145091,0.336658,1.000000
0.145901,0.337500,1.000000
0.146172,0.338346,1.000000
0.147267,0.339196,1.000000
0.147297,0.340050,1.000000
0.147347,0.340909,1.000000
0.147957,0.341772,1.000000
0.148210,0.342640,1.000000
0.148292,0.343511,1.000000
0.148849,0.344388,1.000000
0.148885,0.345269,1.000000
0.148916,0.346154,1.000000
0.149041,0.347044,1.000000
0.149067,0.347938,1.000000
0.149179,0.348837,1.000000
0.150076,0.349741,1.000000
0.150117,0.350649,1.000000
0.150559,0.351562,1.000000
0.151008,0.352480,1.000000
0.151343,0.353403,1.000000
0.151369,0.354331,1.000000
0.151386,0.355263,1.000000
0.152217,0.356201,1.000000
0.152718,0.357143,1.000000
0.152736,0.358090,1.000000
0.152809,0.359043,1.000000
0.153117,0.360000,1.000000
0.153223,0.360963,1.000000
0.154005,0.361930,1.000000
0.155328,0.362903,1.000000
0.155571,0.363881,1.000000
0.156025,0.364865,1.000000
0.156253,0.365854,1.000000
0.156706,0.366848,1.000000
0.156767,0.367847,1.000000
0.156803,0.368852,1.000000
0.156875,0.369863,1.000000
0.157124,0.370879,1.000000
0.157776,0.371901,1.000000
0.157803,0.372928,1.000000
0.157928,0.373961,1.000000
0.158311,0.375000,1.000000
0.158880,0.376045,1.000000
0.158950,0.377095,1.000000
0.159090,0.378151,1.000000
0.159186,0.379213,1.000000
0.159825,0.380282,1.000000
0.160226,0.381356,1.000000
0.160619,0.382436,1.000000
0.161553,0.383523,1.000000
0.161568,0.384615,1.000000
0.162214,0.385714,1.000000
0.162945,0.386819,1.000000
0.162995,0.387931,1.000000
0.163834,0.389049,1.000000
0.164016,0.390173,1.000000
0.164528,0.391304,1.000000
0.164921,0.392442,1.000000
0.165010,0.393586,1.000000
0.165041,0.394737,1.000000
0.165127,0.395894,1.000000
0.165708,0.397059,1.000000
0.166086,0.398230,1.000000
0.166899,0.399408,1.000000
0.166981,0.400593,1.000000
0.167831,0.401786,1.000000
0.168005,0.402985,1.000000
0.168482,0.404192,1.000000
0.168492,0.405405,1.000000
0.169469,0.406627,1.000000
0.170032,0.407855,1.000000
0.170933,0.409091,1.000000
0.171241,0.410334,1.000000
0.171265,0.408537,0.992593
0.171745,0.409786,0.992593
0.172051,0.411043,0.992593
0.172621,0.412308,0.992593
0.172625,0.413580,0.992593
0.172658,0.414861,0.992593
0.172899,0.416149,0.992593
0.173037,0.417445,0.992593
0.173474,0.418750,0.992593
0.174092,0.420063,0.992593
0.174424,0.421384,0.992593
0.174460,0.422713,0.992593
0.174510,0.424051,0.992593
0.175132,0.425397,0.992593
0.175779,0.426752,0.992593
0.175815,0.428115,0.992593
0.176077,0.429487,0.992593
0.176705,0.430868,0.992593
0.176968,0.432258,0.992593
0.177287,0.433657,0.992593
0.179689,0.435065,0.992593
0.179694,0.436482,0.992593
0.180070,0.437908,0.992593
0.180667,0.439344,0.992593
0.181173,0.440789,0.992593
0.181672,0.438944,0.985185
0.182189,0.440397,0.985185
0.182279,0.441860,0.985185
0.182363,0.443333,0.985185
0.182700,0.444816,0.985185
0.182986,0.446309,0.985185
0.183351,0.447811,0.985185
0.183955,0.449324,0.985185
0.184679,0.450847,0.985185
0.184939,0.452381,0.985185
0.185173,0.453925,0.985185
0.186381,0.455479,0.985185
0.186569,0.457045,0.985185
0.186573,0.458621,0.985185
0.186615,0.460208,0.985185
0.186975,0.461806,0.985185
0.188225,0.463415,0.985185
0.188272,0.465035,0.985185
0.188944,0.466667,0.985185
0.189052,0.468310,0.985185
0.189195,0.469965,0.985185
0.189257,0.471631,0.985185
0.190439,0.473310,0.985185
0.191375,0.475000,0.985185
0.191754,0.476703,0.985185
0.191890,0.478417,0.985185
0.192096,0.480144,0.985185
0.192231,0.481884,0.985185
0.193545,0.483636,0.985185
0.194141,0.485401,0.985185
0.194914,0.487179,0.985185
0.195710,0.488971,0.985185
0.196289,0.490775,0.985185
0.196835,0.492593,0.985185
0.198345,0.494424,0.985185
0.199002,0.496269,0.985185
0.199193,0.498127,0.985185
0.199449,0.500000,0.985185
0.199511,0.501887,0.985185
0.200146,0.503788,0.985185
0.201523,0.505703,0.985185
0.203899,0.503817,0.977778
0.207080,0.501916,0.970370
0.207985,0.500000,0.962963
0.208796,0.501931,0.962963
0.209449,0.503876,0.962963
0.210018,0.501946,0.955556
0.210189,0.503906,0.955556
0.211135,0.505882,0.955556
0.212462,0.507874,0.955556
0.212766,0.509881,0.955556
0.213305,0.511905,0.955556
0.214595,0.513944,0.955556
0.214808,0.512000,0.948148
0.217092,0.514056,0.948148
0.217806,0.516129,0.948148
0.218001,0.518219,0.948148
0.218403,0.520325,0.948148
0.218702,0.522449,0.948148
0.219839,0.524590,0.948148
0.221050,0.522634,0.940741
0.222245,0.524793,0.940741
0.222553,0.526971,0.940741
0.223527,0.529167,0.940741
0.223691,0.531381,0.940741
0.225151,0.529412,0.933333
0.226664,0.531646,0.933333
0.227393,0.533898,0.933333
0.227562,0.536170,0.933333
0.229057,0.538462,0.933333
0.229612,0.540773,0.933333
0.229741,0.543103,0.933333
0.229875,0.545455,0.933333
0.231599,0.547826,0.933333
0.232756,0.550218,0.933333
0.233128,0.552632,0.933333
0.236413,0.555066,0.933333
0.236651,0.557522,0.933333
0.237191,0.560000,0.933333
0.238338,0.562500,0.933333
0.240865,0.565022,0.933333
0.242366,0.567568,0.933333
0.248869,0.565611,0.925926
0.249430,0.568182,0.925926
0.250258,0.570776,0.925926
0.253851,0.573394,0.925926
0.253890,0.571429,0.918519
0.254963,0.574074,0.918519
0.258512,0.576744,0.918519
0.261568,0.574766,0.911111
0.261635,0.577465,0.911111
0.261746,0.580189,0.911111
0.263892,0.582938,0.911111
0.265337,0.585714,0.911111
0.266002,0.588517,0.911111
0.266074,0.586538,0.903704
0.266230,0.589372,0.903704
0.266531,0.592233,0.903704
0.268949,0.590244,0.896296
0.269496,0.588235,0.888889
0.270147,0.591133,0.888889
0.270365,0.594059,0.888889
0.270941,0.592040,0.881481
0.271009,0.590000,0.874074
0.271949,0.592965,0.874074
0.272394,0.595960,0.874074
0.272884,0.598985,0.874074
0.273660,0.602041,0.874074
0.274309,0.605128,0.874074
0.274514,0.608247,0.874074
0.276992,0.606218,0.866667
0.278042,0.609375,0.866667
0.278479,0.612565,0.866667
0.278777,0.615789,0.866667
0.280703,0.619048,0.866667
0.280809,0.622340,0.866667
0.281085,0.625668,0.866667
0.281091,0.629032,0.866667
0.281585,0.632432,0.866667
0.285848,0.635870,0.866667
0.286297,0.639344,0.866667
0.286341,0.642857,0.866667
0.287370,0.646409,0.866667
0.288043,0.644444,0.859259
0.288321,0.642458,0.851852
0.288950,0.646067,0.851852
0.289267,0.649718,0.851852
0.289267,0.653409,0.851852
0.291231,0.657143,0.851852
0.292085,0.660920,0.851852
0.297412,0.664740,0.851852
0.300337,0.668605,0.851852
0.301685,0.672515,0.851852
0.302050,0.670588,0.844444
0.302135,0.674556,0.844444
0.302627,0.672619,0.837037
0.304550,0.676647,0.837037
0.304830,0.674699,0.829630
0.307991,0.672727,0.822222
0.309305,0.676829,0.822222
0.310379,0.680982,0.822222
0.310496,0.685185,0.822222
0.310899,0.689441,0.822222
0.314928,0.687500,0.814815
0.314977,0.691824,0.814815
0.315771,0.696203,0.814815
0.318988,0.700637,0.814815
0.320307,0.698718,0.807407
0.320374,0.696774,0.800000
