model,curve,x,y,threshold
ml_only,pr,1.000000,0.215655,0.196620
ml_only,pr,1.000000,0.216000,0.196627
ml_only,pr,1.000000,0.216346,0.196665
ml_only,pr,1.000000,0.216693,0.196903
ml_only,pr,1.000000,0.217042,0.197670
ml_only,pr,1.000000,0.217391,0.198147
ml_only,pr,1.000000,0.217742,0.198636
ml_only,pr,1.000000,0.218094,0.198941
ml_only,pr,1.000000,0.218447,0.199025
ml_only,pr,1.000000,0.218801,0.199972
ml_only,pr,1.000000,0.219156,0.200182
ml_only,pr,1.000000,0.219512,0.200590
ml_only,pr,1.000000,0.219870,0.200808
ml_only,pr,1.000000,0.220228,0.200845
ml_only,pr,1.000000,0.220588,0.201389
ml_only,pr,1.000000,0.220949,0.201456
ml_only,pr,1.000000,0.221311,0.202442
ml_only,pr,1.000000,0.221675,0.202883
ml_only,pr,1.000000,0.222039,0.202892
ml_only,pr,1.000000,0.222405,0.202980
ml_only,pr,1.000000,0.222772,0.203358
ml_only,pr,1.000000,0.223140,0.203649
ml_only,pr,1.000000,0.223510,0.205428
ml_only,pr,1.000000,0.223881,0.205600
ml_only,pr,1.000000,0.224252,0.206299
ml_only,pr,1.000000,0.224626,0.207031
ml_only,pr,1.000000,0.225000,0.207096
ml_only,pr,1.000000,0.225376,0.207537
ml_only,pr,1.000000,0.225753,0.207818
ml_only,pr,1.000000,0.226131,0.208157
ml_only,pr,1.000000,0.226510,0.208400
ml_only,pr,1.000000,0.226891,0.208939
ml_only,pr,1.000000,0.227273,0.209569
ml_only,pr,1.000000,0.227656,0.209627
ml_only,pr,1.000000,0.228041,0.209730
ml_only,pr,1.000000,0.228426,0.209900
ml_only,pr,1.000000,0.228814,0.209922
ml_only,pr,1.000000,0.229202,0.210138
ml_only,pr,1.000000,0.229592,0.210171
ml_only,pr,1.000000,0.229983,0.211683
ml_only,pr,1.000000,0.230375,0.211957
ml_only,pr,1.000000,0.230769,0.212173
ml_only,pr,1.000000,0.231164,0.212177
ml_only,pr,1.000000,0.231561,0.212748
ml_only,pr,1.000000,0.231959,0.213640
ml_only,pr,1.000000,0.232358,0.214743
ml_only,pr,1.000000,0.232759,0.214816
ml_only,pr,1.000000,0.233161,0.214823
ml_only,pr,1.000000,0.233564,0.215442
ml_only,pr,1.000000,0.233969,0.215530
ml_only,pr,1.000000,0.234375,0.215557
